album,cancion,id,autor,texto_crudo,Clasifiacion
A VIAJAR SE HA DICHO,Canción para arrullar a un grillito,A VIAJAR SE HA DICHO ||| Canción para arrullar a un grillito,,"Canción para arrullar a un grillito El grillito cantor que arrulla mis sueños se fue a dormir Al país de los cantos y de los cuentos, a descansar. La Patita, el Ché Araña, el Negro Sandía lo harán reír, Mientras que cada niño, con sus canciones, será feliz. Grillito Cantor, dulce CriCrí Déjame que te cante y que te cuente Como a tú a mí. Quiero arrullarte con mi canción, Negrito Bailarín que hoy tiene cuerda Baila para ti. Déjame oír tus cuentos con otros niños mi buen CriCrí, Porque aún en estos tiempos los mismos cuentos nos gusta oír. Jicote Aguamielero con la abejita se va a casar Y hasta el Chivo Ciclista, por ti, su barba se va a cortar. Cierra tus ojos, ahora a descansar, Aunque tú estés dormido, Tu hermoso canto me arrullará. Y Juan Pestañas ya vino aquí Cucurumbé bailando con los muñecos Te arrullará. Vienen ya los Palomos, la Guacamaya, para entonar Todas esas canciones que nos cantabas, y así soñar. Vinieron los Cochinitos y la Abuelita para pedir Que el canto de los niños sea el que te arrulle y puedas dormir. Cierra tus ojos, ¡debes a descansar! Porque nadie que aún sueñe Tu hermoso canto podrá olvidar. Gracias CriCrí, Grillito Cantor, Porque en todo momento Ese tu canto, es el que anda ahí. ¿Quién es ese que anda ahí? ¡Es CriCrí, es CriCrí! ¿Y quién es ese señor? ¡El Grillo Cantor!",ESPAÑOL_REGIONAL
A VIAJAR SE HA DICHO,Capullito de algodón,A VIAJAR SE HA DICHO ||| Capullito de algodón,,"Capullito de algodón Por qué llora tanto mi niña Capullito de algodón Con la luna van las nubes A formarte un edredón A la ru, a la me, A la ru, a la me, A la ru, a la me, A la ru, a la ru, a la me. La luna te observa curiosa Canta el viento su canción No llores, tu madre te duerme En sus brazos, corazón. A la ru, a la me, A la ru, a la me, A la ru, a la me, A la ru, a la ru, a la me. La lluvia de enero te arrulla Y tu sueño en barco va Navega ligero entre estrellas A la luna llegará... A la ru, a la me, A la ru, a la me, A la ru, a la me, A la ru, a la ru, a la me.",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Coco Rock,A VIAJAR SE HA DICHO ||| Coco Rock,,"Cocoró es la gallina Más tranquila del corral. (Tranquila, muy tranquila). Cacarea quedo sus huevos Siempre en el mismo lugar. (Quedito, muy quedito) Con sus plumas bien peinadas, Cocoró es muy formal. A sus pollos, formaditos, No los deja ni piar. (No, no, no. No, no, no) Una noche muy oscura La gallina despertó. (Oscura, muy oscura) Llegó un perro bandolero, Y a todos los asustó. (Un perro, bandolero). Se escucharon alaridos, Todo el mundo se asomó: Cocoró estaba bailando, Y el relajo ya se armó. (¡Ya se armó! ¡Ya se armó!) Cocoró se revolcaba De tanto que le gustó. (Contenta, muy contenta). Con sus plumas despeinadas Ya nada le molestó. (Despeinada, despeinada). Con la banda de ese perro Ya no para de bailar. Ahora baila noche y día Sus pollos van a corear: ¡Coco rock! ¡Coco rock! ¡Coco Rooock!",ESPAÑOL_REGIONAL
A VIAJAR SE HA DICHO,"Dime, ranita","A VIAJAR SE HA DICHO ||| Dime, ranita",,"Yo no me quiero mojar los zapatos, Porque me puede regañar mi mamá; Quiero, descalza, bailar en los charcos, Con mi ranita muy feliz brincotear Dime, ranita, Si tú llamas la lluvia, ¿Tu amigo el sapo Es quien te viene a ayudar? Dime, ranita, Dímelo ya, Porque yo, en serio Que me voy a mojar. Canta ranita, con la lluvia mojando, Ya las luciérnagas van a iluminar, Regresaremos a casa empapadas, En el camino nos podremos secar. Dime, ranita… Yo no me enfermo, si antes de ir a la cama Me doy un baño, ¡y lista para acostar! Bien arropada y con mi tibia pijama, Oiré los cuentos de mamá, ¡y a soñar! Dime, ranita…",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Gatoconcierto,A VIAJAR SE HA DICHO ||| Gatoconcierto,,"Viene Por los tejados Canta Con las estrellas Cuando el gato Comienza a maullar, Es que el gato No quiere cazar Ratones. Canta a la luna Canta a la luna. Canta a la luna. Y los ratones Corren libres, Mientras que el gato Da un concierto. Canta a la luna…",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Lunes por la mañana,A VIAJAR SE HA DICHO ||| Lunes por la mañana,,"Lunes por la mañana Es lunes por la mañana Y el problema va a empezar Cuando está cerca la hora En que a la escuela hay que llegar. Se avecina una tormenta, Cuando tienen que cargar Las mochilas con los libros Y alguien viene a patalear: Mis libros… ¿Dónde están? ¡Mi goma de borrar! No encuentro mi reloj ¡Mi hermano lo escondió! ¡Qué barbaridad! peleado se van. ¡Qué barbaridad! peleado se van. El camino es imposible, Pues no paran de pelear. En la combi, las personas, Se empiezan a incomodar. El hermano, como siempre, No se deja ni sonar; Se limpia con la manita ¡Y a su hermana fue a embarrar! ¡Mamá! ¡Fíjate bien! ¡De nuevo él empezó! ¡Ya ponlo en su lugar! Si no, lo pongo yo. “Tú eres la mayor, mejor cuida de él”. ¡Qué tráfico hay! ¡La esquina, chofer! ¡Por favor, mamá, no quiero llegar! Es lunes, y aquí ¡se acabó la paz!",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Mariana marinera,A VIAJAR SE HA DICHO ||| Mariana marinera,,"Mariana leía un libro sobre barcos Y entonces marinera quiso ser, Cortó de su libreta una hoja en blanco Para hacer un barquito de papel Lo puso sobre un charco Y dijo con emoción Llévame, buen barquito, A navegar hasta altamar. ¿Cuáles son las palabras Que debo pronunciar? ¡Que venga el capitán! ¡Quiero este viaje ya iniciar! Navega…Navega… Navega a tu destino, el ancho mar. Navega, que es tu sino navegar; Mariana marinera quiere ser, Y el horizonte, todo, conocer. ¡Navega…navega…! El viento, con Mariana iba cantando, Pelícanos, gaviotas sobre de él; Delfines y ballenas desfilando, Con peces de colores en tropel. No pierdan ese barco, Sigan muy cerca de él, Mariana marinera Hará barquitos de papel; Sobre ellos, niñas niños, Vengan a conocer La vida del océano Y maravillas que hay en él. ¡Navega…navega…!",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Morelia,A VIAJAR SE HA DICHO ||| Morelia,,"En mi ciudad Hay jardines hermosos Donde las bancas De cantera son Y en cada uno Una fuente redonda, Como si de ellos Fuera el corazón. Es mi Morelia Princesa tarasca De piel morena, Rostro señorial Torres muy altas Y en sus campanarios, Alegres palomas, ¡Ciudad colonial! Entre las nubes Temprano las garzas Surcan el cielo Sobre el fondo azul De alas doradas Cuando el sol despierta Y alas plateadas Cuando va a dormir. Ven a Morelia Y disfruta conmigo De su belleza Y su grata quietud. Arcos muy altos De rosa cantera Son los que cuidan Mi linda ciudad.",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Sara la tortuga,A VIAJAR SE HA DICHO ||| Sara la tortuga,,"Cuentan los que cuentos cuentan Que una mañanita caminó hacia el mar; Que nació en un arroyito, pero fue creciendo Y empezó a soñar. Y Sarita, la tortuga, sin pedir permiso Se metió en el mar, Se encontró con muchos peces, Pulpos, caracolas y hasta un calamar. Muy pronto se hizo de amigos Pues los muy curiosos deseaban saber Si el agua de su arroyito No era tan salada y se podía beber. Mas Sarita, la tortuga En ese momento se soltó a llorar, Extrañaba a su mamita Y ahora no sabía cómo regresar. Dijo entonces la caguama: “No llores, Sarita, vamos a buscar; Dicen que todo arroyito Se une a estas aguas por algún lugar. Móntate pronto en mi lomo Porque ahora mismo voy a recorrer Los lugares más bonitos Que toda tortuga debe conocer. Cuentan que doña caguama A la tortuguita llevó hasta su hogar, Que tomó un gran sorbo de agua Llenando su buche para regresar. Les llevó una probadita A todos los peces y hasta al calamar, Mientras Sara, la tortuga, Sueña que te sueña el inmenso mar.",ESPAÑOL_ESTANDAR
A VIAJAR SE HA DICHO,Tango del perro y el tlacuache,A VIAJAR SE HA DICHO ||| Tango del perro y el tlacuache,,"Un perrito se encontraba encaprichado, No quería más que a la luna contemplar, La miraba tan redonda, emocionado, Quería bajarla y perseguirla sin parar. Por sus sueños no cuidaba el gallinero Y un tlacuache buscaba por dónde entrar, Sigiloso, por si acaso era bravero Aquél perrito que no hacía más que cantar: “Luna, no seas ingrata, Baja pronto a jugar, Mira, yo te haré versos, Para que juntos Nos pongamos a cantar. El tlacuache lo miraba impresionado, Pues el perro no podía ni pestañear Contemplaba a la luna, alelado, Por si bajaba, para poderla botar. El tlacuache se llevaba a los pollitos Despacito y cuidadoso al caminar; Las gallinas lloraban por sus hijitos Y el perro tonto no paraba de cantar: Luna, no seas ingrata…. Las gallinas detuvieron al intruso, Decididas se lanzaron a picar; Vino un gallo y también se le interpuso, Y lastimado lo sacaron del corral. El tlacuache se sentó junto al perrito, Humillado y decidido a no pelear, Con las patas se espantaba algún mosquito, Bien traqueteado también se puso a cantar: Luna, no seas ingrata…",ESPAÑOL_ESTANDAR
