ClavedeFonograma,Titulo,Subtítulo,Intérprete principal,Intérpretes Invitados,Intérprete articipante,Soporte físico,Editora,Número de catálogo,Ciudad de Edición,País de Edición,Año,Pistas,Observaciones
142,Lo mejor de Francisco Gabilondo Soler,,Cri-Cri  El grillito cantor,,Orquesta de Chucho Ferrer,LP,RCA Víctor,MKLA - 63,"México, D.F.",México,1968,"LP 1 Lado 1: 1. La patita (introducción) (F. Gabilondo S.), 2. El ratón vaquero (F. Gabilondo S.), 3. El ropero (F. Gabilondo S.), 4. Di por qué (F. Gabilondo S.), 5. Cochinitos dormilones (F. Gabilondo S.), 6. El negrito bailarín (F. Gabilondo S.); Lado 2: 1. El chorrito (F. Gabilondo S.), 2. Bombón I (F. Gabilondo S.), 3. La muñeca fea (F. Gabilondo S.), 4. La marcha de las letras (F. Gabilondo S.), 5. La merienda (F. Gabilondo S.), 6. Los caballitos (F. Gabilondo S.); LP 2 Lado 1: 1. Negrito sandía (F. Gabilondo S.), 2. El ropavejero (F. Gabilondo S.), 3. Campanita y Juan Pestañas (F. Gabilondo S.), 4. Papá elefante (F. Gabilondo S.), 5. Gato de barrio (F. Gabilondo S.), 6. El teléfono (F. Gabilondo S.); Lado 2: 1. Caminito de la escuela (F. Gabilondo S.), 2. El perrito (F. Gabilondo S.), 3. Llueve (F. Gabilondo S.), 4. Cucurumbé (F. Gabilondo S.), 5. Casamiento de los palomos (F. Gabilondo S.), 6. Marcha de las canicas (F. Gabilondo S.); LP 3 Lado 1: 1. La cocorica (F. Gabilondo S.), 2. Batallón de plomo (F. Gabilondo S.), 3. Orquesta de animales (F. Gabilondo S.), 4. Mosquitos trompeteros (F. Gabilondo S.), 5. Desfile de los cupidos (F. Gabilondo S.), 6. La cacería (F. Gabilondo S.); Lado 2: 1. El borreguito (F. Gabilondo S.), 2. El gato carpintero (F. Gabilondo S.), 3. Pollitos jardineros (F. Gabilondo S.), 4. Los ratones bomberos (F. Gabilondo S.), 5. Los enanos toreros (F. Gabilondo S.), 6. Escuela de perritos (F. Gabilondo S.)",
312,"Cri-Cri  ""El grillito Cantor""",,Francisco Gabilondo Soler,,,LP,RCA Víctor,MKL 3032,,México,s/d,"Lado 1: 1. El burrito (F. Gabilondo S.), 2. Negrito bailarín (F. Gabilondo S.), 3. El marinero (F. Gabilondo S.), 4. Fiesta de los zapatos (F. Gabilondo S.); Lado 2: 1. La maquinita (F. Gabilondo S.), 2. Lunada (F. Gabilondo S.), 3. La merienda (F. Gabilondo S.), 4. Los caballitos (F. Gabilondo S.)",Dice en portada: Disco Larga duración. Es un acetato de 25 cm. de diámetro. 33 1/3 rpm. Nota de presentación en contraportada. Se cuenta con tres ejemplares.
329,"Cri-Cri ""El grillito Cantor""",,Francisco Gabilondo Soler,,,LP,RCA Víctor,MKL 3001,,México,s/d,"Lado 1: 1. Marcha de las letras (F. Gabilondo S.), 2. Cochinitos dormilones (F. Gabilondo S.), 3. Carrousel (F. Gabilondo S.), 4. La olla y el comal (F. Gabilondo S.); Lado 2: 1. Ratón vaquero (F. Gabilondo S.), 2. Negrito sandía (F. Gabilondo S.), 3. Cucurumbé (F. Gabilondo S.), 4. La patita (F. Gabilondo S.)","Es un acetato de 25 cm. de diámetro. 33 1/3 rpm. Nota de presentación en contraportada. Se cuenta con dos ejemplares, de ediciones diferentes. Diferencia en el diseño de marbete."
340,Rondas infantiles,,Coro infantil del Parque de la ilusión,,,LP,Discos Globo,s/d,,México,1980,"Lado A: 1. Doña Blanca, 2. Juguemos esta ronda (C. Carlos), 3. Que llueva, que llueva, 4. Acitrón de un fandango, 5. Brinca la tablita; Lado B: 1. A la víbora de la mar, 2. Amó, ató, 3. La pájara pinta, 4. Mambrú, 5. San Serafín","La pista 2 Lado B aparece registrada en el fonograma de la siguiente manera: Amo a To. Se utilizó un título o nombre ""normalizado"" en el campo correspondiente a fin de hacer más claro la aparición de nombres propios y/o títulos en los índices."
343,El rincón de los niños Vol. 1,El encanto de la música infantil,"Hermanos Rincón. Valentín Rincón (vz, gt y ef), César Rincón (vz y gt), Xochitl Arévalo (vz), Gabriela Partida (vz)",,,LP,"Polydor-Polygram Discos, S. A.",LPR16236 Estereo 2389092,,México,1977,"Lado 1: 1. El negrito Zambo (G. Rincón/V. Rincón), 2. La ardilla (G. Rincón/V. Rincón), 3. Lagartija (G. Rincón/V. Rincón), 4. Pasteles de lodo (G. Rincón/V. Rincón), 5. Mi gatito (G. Rincón/V. Rincón), 6. La matraca traca (G. Rincón/V. Rincón), 7. El grillo (G. Rincón/V. Rincón), 8. La muñeca enferma (G. Rincón/V. Rincón), 9. El gusanito medidor (G. Rincón/V. Rincón); Lado 2: 1. Los números (G. Rincón-V. Rincón), 2. El arco iris (G. Rincón/V. Rincón), 3. Caracol (G. Rincón/V. Rincón), 4. La vaquita de Martín (G. Rincón/V. Rincón), 5. La rata cambalachista (G. Rincón/V. Rincón), 6. Abecedario de la pelota (G. Rincón/V. Rincón), 7. La tortuguita (G. Rincón/V. Rincón), 8. El sueño (G. Rincón/V. Rincón).","Dirección artística: Óscar Chávez. Números de registro que aparecen en el LP: 16236 2389092. Intersong. En la contraportada aparece inscripción: ""Recomendado para su difusión en las escuelas del país por la Dirección General de Educación Audiovisual de la Secretaría de Educación Pública"". Nota en contraportada por Rocío Sanz. Se cuenta con dos ejemplares. El encanto de la música infantil aparece solo en uno de los dos ejemplares. Ambos tienen la misma fecha de edición (1977)."
344,El rincón de los niños Vol. 2,,Hermanos Rincón,,Andrés Rincón y José Omar Barroso. Niños,LP,"Polydor-Polygram Discos, S. A.",LPR16274 Estereo,,México,1978,"Lado 1: 1. El niño robot (G. Rincón-V. Rincón), 2. La campana niña (G. Rincón-V. Rincón), 3. La máquina de escribir (G. Rincón-V. Rincón), 4. El ornitorrinco (V. Rincón), 5. La clase de música (V. Rincón); Lado 2: 1. El trenecito (G. Rincón-V. Rincón), 2. El columpio (G. Rincón-V. Rincón), 3. El rock del changuito (G. Rincón-V. Rincón), 4. El sembrador (G. Rincón-V. Rincón), 5. La gatita pinta (G. Rincón-V. Rincón), 6. Apelotonaditos (G. Rincón-V. Rincón)","Dirección artística: Óscar Chávez. Números de registro que aparecen en el LP: 16274 2389103. En la portada interior aparecen las letras de las canciones. Todas las selecciones editadas por Consorcio musical, S.A. Se cuenta con dos ejemplares."
345,El rincón de los niños Vol. 3,,"Hermanos Rincón. Valentín Rincón (vz, gt, mf y ef), César Rincón (vz y gt), Xochitl Arévalo (vz), Gabriela Partida (vz), Gilda Rincón (vz), Hugo Vázquez (ctro, qn, ch y bm)",,,LP,"Polydor-Polygram Discos, S. A.",LPR 16303 Estereo,,México,1979,"Lado 1: 1. La pelota (G. Rincón-V. Rincón), 2. Blues de la cigüeña (G. Rincón-V. Rincón), 3. Pajarito cola blanca (G. Rincón-V. Rincón), 4. Caballitos de mar (G. Rincón-V. Rincón), 5. Ay, ay, ay (G. Rincón-V. Rincón), 6. Re - la - mi - do (G. Rincón-V. Rincón), 7. Las esdrújulas (G. Rincón-V. Rincón); Lado 2: 1. Sapito verde (G. Rincón-V. Rincón), 2. El trompo (G. Rincón-V. Rincón), 3. El doctor (G. Rincón-V. Rincón), 4. Arrullo de las palomas (G. Rincón-V. Rincón), 5. Los puerquitos (G. Rincón-V. Rincón), 6. Cuéntame mamá (G. Rincón-V. Rincón)","Dirección artística: Óscar Chávez. En la contraportada aparecen las letras de las canciones. Números de registro que aparecen en el LP: 16303 2389118. Todas las melodías editadas por LAÚD. Se cuenta con tres ejemplares que aunque tienen el mismo año, el tercero puede ser posterior, ya que la contraportada es distinta y no presenta las letras de las canciones. La información detallada de intérpretes e instrumentos se encuentra en la contraportada del fonograma."
347,El rincón de los niños Vol. V,,"Hermanos Rincón. Valentin Rincón (vz, gt, mf y efectos), Xóchitl Arévalo (vz), Gabriela Partida (vz), César Rincón (vz, gt), Gilda Rincón (vz), Hugo Vázquez (ctro, qn, ch,bm).",,Músicos del SUTM. Hugo Luis Barroso (maullidos especiales),LP,"Polydor-Polygram Discos, S. A.",LPR 16420 Estereo,,México,1982,"Lado 1: 1. La comidita (G. Rincón-V. Rincón), 2. Luna luna (G. Rincón-V. Rincón), 3. Siete vidas (G. Rincón-V. Rincón), 4. Canción andina (G. Rincón-V. Rincón), 5. Las negritas de chocolate (G. Rincón-V. Rincón), 6. Tiene el cielo estrellas (G. Rincón-V. Rincón), 7. Las familias de la orquesta (V. Rincón); Lado 2: 1. Los cangrejitos (V. Rincón), 2. Los gatos de Rocío (V. Rincón), 3. La infantina está enfadada (V. Rincón), 4. El jicotito (V. Rincón), 5. Susana la oruga (V. Rincón), 6. La canción que te canto (V. Rincón)",Dirección artística: Óscar Chávez. Números de registro que aparecen en el LP: 16420 2389 183. Editora LAÚD.
348,Lírica infantil mexicana vol. II,,Óscar Chávez/Hermanos Rincón,,,LP,"Polydor-Polygram Discos, S. A.",LPRN16549,,México,1985,"Lado 1: 1. Caballito blanco ([Trad.]), 2. La calavera ([Trad.]), 3. Mambrú ([Trad.]), 4. Andándome yo paseando ([Trad.]), 5. Cantos para pedir y dar posada ([Trad.]), 6. El zopilote ([Trad.]), 7. La suegra y la nuera ([Trad.]), 8. El piojo ([Trad.]), 9. María la pastora ([Trad.]), 10. La rana (A) ([Trad.]), 11. La muerte ([Trad.]); Lado 2: 1. Mañanitas de Guadalajara ([Trad.]), 2. Bartolo ([Trad.]), 3. El cojo (B) ([Trad.]), 4. El marrano ([Trad.]), 5. El real y medio (B) ([Trad.]), 6. Ahí vienen los monos ([Trad.]), 7. Arrullo mexicano ([Trad.]), 8. Cuchito ([Trad.]), 9. La rana (B) ([Trad.]), 10. Duérmete niña bonita ([Trad.]), 11. La paloma azul ([Trad.])","Dirección artística: Óscar Chávez.Participación del músicos del SUTM en cuerdas, flauta y saxofón. Todos los temas pertenecen a Editora LAÚD. Números de registro que aparecen en el LP: 16549 825 844-1."
351,Canto al niño en su año,,Alberto Lozano,,,LP,"Discos Gas, S. A.",GAS-4118,,México,1979,"Lado 1: 1. Hoy el sol al despertar (A. Lozano), 2. Tic tac (A. Lozano), 3. Las plantas y los árboles (A. Lozano), 4. Peluchín (A. Lozano), 5. Por el periférico voy (A. Lozano); Lado 2: 1. Coquito Baby (A. Lozano), 2. Al campo al caminar (A. Lozano), 3. Las nubes van (A. Lozano), 4. La lluvia cae (A. Lozano), 5. Buenas noches padre nuestro (A. Lozano)","Incluye las letras de todas las canciones en la contraportada. Dirección artística: Guillermo Acosta S. Editora: Intersong.
Este fonograma se editó como aparece aquí registrado y además forma parte del álbum ""Canto al niño en su año"", clave de fonograma N° 1523 con el título ""Canto al niño en su año III"""
